Profile: Function timing, sorted by time
Date:    Mon May 17 15:57:30 2004


Program Statistics
------------------
    Command line at 2004 May 17 15:54: "D:\Games\QUAKE\qmb-V1" 
    Total time: 97571.555 millisecond
    Time outside of functions: 547.600 millisecond
    Call depth: 89
    Total functions: 1625
    Total hits: 6328576
    Function coverage: 34.8%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 97023.955 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1625
    Hits in module: 6328576
    Module function coverage: 34.8%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.593   0.0        0.588   0.0        2 _R_InitTextures (gl_rmisc.obj)
       0.592   0.0        0.970   0.0        1 _Host_WriteConfiguration (host.obj)
       0.543   0.0       28.646   0.0        1 _NET_Init (net_main.obj)
       0.541   0.0        0.541   0.0     1182 _V_AddIdle (view.obj)
       0.539   0.0        2.038   0.0        1 _WIPX_Init (net_wipx.obj)
       0.537   0.0     9663.041  10.0        1 _Host_Init (host.obj)
       0.443   0.0        0.000   0.0        1 _M_Init (menu.obj)
       0.406   0.0        0.405   0.0        1 _CDAudio_Shutdown (cd_win.obj)
       0.368   0.0       36.674   0.0      396 _AddParticleColor (gl_rpart.obj)
       0.367   0.0       51.422   0.1      114 _Key_Bind_f (keys.obj)
       0.344   0.0        0.344   0.0        1 _Check_Gamma (gl_vidnt.obj)
       0.331   0.0        8.566   0.0        1 _PR_Init (pr_edict.obj)
       0.330   0.0     1921.183   2.0      123 _Con_Printf (console.obj)
       0.308   0.0        0.308   0.0     1225 _SCR_TileClear (gl_screen.obj)
       0.285   0.0        0.285   0.0       26 _Img_HasFullbrights (gl_model.obj)
       0.283   0.0        0.251   0.0        1 _Key_WriteBindings (keys.obj)
       0.278   0.0        0.278   0.0     1182 _Sys_ConsoleInput (sys_win.obj)
       0.259   0.0        0.258   0.0        1 _CheckMultiTextureExtensions (gl_vidnt.obj)
       0.259   0.0        0.259   0.0       58 _mypng_struct_destroy (gl_png.obj)
       0.257   0.0        0.000   0.0       58 _png_read_info (libpng12.dll)
       0.257   0.0        0.257   0.0       58 _png_read_update_info (libpng12.dll)
       0.223   0.0       38.844   0.0     1601 _AddTrailColor (gl_rpart.obj)
       0.220   0.0        0.220   0.0       62 _va (common.obj)
       0.211   0.0    50700.701  52.3      296 _Mod_LoadModel (gl_model.obj)
       0.208   0.0       77.105   0.1     1182 _Sbar_DrawFace (sbar.obj)
       0.206   0.0        0.206   0.0      309 _Q_atof (common.obj)
       0.203   0.0        0.203   0.0      190 _Cache_FreeHigh (zone.obj)
       0.196   0.0        0.182   0.0      112 _W_GetLumpinfo (wad.obj)
       0.194   0.0     4233.408   4.4       22 _Mod_LoadAllSkins (gl_model.obj)
       0.192   0.0        0.192   0.0        1 _Sys_mkdir (sys_win.obj)
       0.179   0.0     5731.093   5.9        1 _Draw_Init (gl_draw.obj)
       0.163   0.0        0.163   0.0      258 _fgetLittleShort (gl_tga.obj)
       0.140   0.0        0.140   0.0        3 _BuildGammaTable (view.obj)
       0.137   0.0        0.401   0.0        6 _S_ClearBuffer (snd_dma.obj)
       0.132   0.0        0.132   0.0     1184 _IN_MouseEvent (in_win.obj)
       0.129   0.0        9.955   0.0        2 _CL_PlayDemo_f (cl_demo.obj)
       0.124   0.0        0.124   0.0        1 _Cvar_WriteVariables (cvar.obj)
       0.119   0.0        0.119   0.0       58 _mypng_struct_create (gl_png.obj)
       0.109   0.0        0.109   0.0        1 _WINS_CloseSocket (net_wins.obj)
       0.094   0.0        0.094   0.0        2 _IN_ShowMouse (in_win.obj)
       0.093   0.0        0.093   0.0     1092 _Sys_Printf (sys_win.obj)
       0.087   0.0        0.087   0.0      225 _CL_AllocDlight (cl_main.obj)
       0.084   0.0     1330.946   1.4        2 _R_NewMap (gl_rmisc.obj)
       0.084   0.0        0.084   0.0        1 _SND_InitScaletable (snd_mix.obj)
       0.083   0.0        0.089   0.0        4 _CL_NewTranslation (cl_parse.obj)
       0.078   0.0       21.774   0.0      224 _S_TouchSound (snd_dma.obj)
       0.075   0.0        0.073   0.0        1 _IN_StartupMouse (in_win.obj)
       0.075   0.0        0.075   0.0        1 _WIPX_CloseSocket (net_wipx.obj)
       0.075   0.0        0.075   0.0      263 _COM_FileBase (common.obj)
       0.065   0.0        0.064   0.0        1 _VID_InitDIB (gl_vidnt.obj)
